Fold,Model,Accuracy,Method,K
28,guass_nb,0.8696,PCA,2
29,SVM,0.9144,PCA,2
29,guass_nb,0.8744,PCA,2
30,SVM,0.9168,PCA,2
30,guass_nb,0.8784,PCA,2
31,SVM,0.9064,PCA,2
31,guass_nb,0.864,PCA,2
32,SVM,0.9136,PCA,2
32,guass_nb,0.8544,PCA,2
33,SVM,0.9104,PCA,2
33,guass_nb,0.8736,PCA,2
34,SVM,0.9136,PCA,2
34,guass_nb,0.8752,PCA,2
35,SVM,0.9256,PCA,2
35,guass_nb,0.8712,PCA,2
36,SVM,0.9176,PCA,2
36,guass_nb,0.8744,PCA,2
37,SVM,0.92,PCA,2
37,guass_nb,0.8704,PCA,2
38,SVM,0.9088,PCA,2
38,guass_nb,0.8688,PCA,2
39,SVM,0.9168,PCA,2
39,guass_nb,0.8704,PCA,2
40,SVM,0.92,PCA,2
40,guass_nb,0.8752,PCA,2
41,SVM,0.908,PCA,2
41,guass_nb,0.8736,PCA,2
42,SVM,0.9128,PCA,2
42,guass_nb,0.8576,PCA,2
43,SVM,0.92,PCA,2
43,guass_nb,0.8768,PCA,2
44,SVM,0.9104,PCA,2
44,guass_nb,0.8568,PCA,2
45,SVM,0.9248,PCA,2
45,guass_nb,0.8768,PCA,2
46,SVM,0.912,PCA,2
46,guass_nb,0.8752,PCA,2
47,SVM,0.9056,PCA,2
47,guass_nb,0.8608,PCA,2
48,SVM,0.9304,PCA,2
48,guass_nb,0.888,PCA,2
49,SVM,0.9072,PCA,2
49,guass_nb,0.8552,PCA,2
0,SVM,0.9136,PCA,3
0,guass_nb,0.868,PCA,3
1,SVM,0.912,PCA,3
1,guass_nb,0.8608,PCA,3
2,SVM,0.9144,PCA,3
2,guass_nb,0.8688,PCA,3
3,SVM,0.9128,PCA,3
3,guass_nb,0.8664,PCA,3
4,SVM,0.9136,PCA,3
4,guass_nb,0.8808,PCA,3
5,SVM,0.9104,PCA,3
5,guass_nb,0.8592,PCA,3
6,SVM,0.904,PCA,3
6,guass_nb,0.8568,PCA,3
7,SVM,0.9168,PCA,3
7,guass_nb,0.868,PCA,3
8,SVM,0.9216,PCA,3
8,guass_nb,0.8704,PCA,3
9,SVM,0.9264,PCA,3
9,guass_nb,0.8752,PCA,3
10,SVM,0.9128,PCA,3
10,guass_nb,0.872,PCA,3
11,SVM,0.916,PCA,3
11,guass_nb,0.8576,PCA,3
12,SVM,0.9224,PCA,3
12,guass_nb,0.8704,PCA,3
13,SVM,0.928,PCA,3
13,guass_nb,0.8712,PCA,3
14,SVM,0.9184,PCA,3
14,guass_nb,0.872,PCA,3
15,SVM,0.912,PCA,3
15,guass_nb,0.86,PCA,3
16,SVM,0.9128,PCA,3
16,guass_nb,0.86,PCA,3
17,SVM,0.9264,PCA,3
17,guass_nb,0.8616,PCA,3
18,SVM,0.9056,PCA,3
18,guass_nb,0.86,PCA,3
19,SVM,0.908,PCA,3
19,guass_nb,0.856,PCA,3
20,SVM,0.9144,PCA,3
20,guass_nb,0.8672,PCA,3
21,SVM,0.908,PCA,3
21,guass_nb,0.8424,PCA,3
22,SVM,0.9104,PCA,3
22,guass_nb,0.86,PCA,3
23,SVM,0.9168,PCA,3
23,guass_nb,0.8672,PCA,3
24,SVM,0.9112,PCA,3
24,guass_nb,0.8568,PCA,3
25,SVM,0.912,PCA,3
25,guass_nb,0.8704,PCA,3
26,SVM,0.916,PCA,3
26,guass_nb,0.8688,PCA,3
27,SVM,0.916,PCA,3
27,guass_nb,0.8648,PCA,3
28,SVM,0.9128,PCA,3
28,guass_nb,0.8648,PCA,3
29,SVM,0.9184,PCA,3
29,guass_nb,0.8592,PCA,3
30,SVM,0.9104,PCA,3
30,guass_nb,0.8824,PCA,3
31,SVM,0.9136,PCA,3
31,guass_nb,0.8688,PCA,3
32,SVM,0.9216,PCA,3
32,guass_nb,0.8808,PCA,3
33,SVM,0.916,PCA,3
33,guass_nb,0.8776,PCA,3
34,SVM,0.92,PCA,3
34,guass_nb,0.8784,PCA,3
35,SVM,0.9216,PCA,3
35,guass_nb,0.8784,PCA,3
36,SVM,0.9088,PCA,3
36,guass_nb,0.8632,PCA,3
37,SVM,0.9144,PCA,3
37,guass_nb,0.8664,PCA,3
38,SVM,0.9056,PCA,3
38,guass_nb,0.8648,PCA,3
39,SVM,0.9192,PCA,3
39,guass_nb,0.8696,PCA,3
40,SVM,0.896,PCA,3
40,guass_nb,0.8528,PCA,3
41,SVM,0.9144,PCA,3
41,guass_nb,0.8768,PCA,3
42,SVM,0.9232,PCA,3
42,guass_nb,0.8824,PCA,3
43,SVM,0.912,PCA,3
43,guass_nb,0.8696,PCA,3
44,SVM,0.9304,PCA,3
44,guass_nb,0.884,PCA,3
45,SVM,0.9144,PCA,3
45,guass_nb,0.876,PCA,3
46,SVM,0.9152,PCA,3
46,guass_nb,0.8752,PCA,3
47,SVM,0.9136,PCA,3
47,guass_nb,0.8616,PCA,3
48,SVM,0.9176,PCA,3
48,guass_nb,0.8656,PCA,3
49,SVM,0.92,PCA,3
49,guass_nb,0.8792,PCA,3
0,SVM,0.9248,PCA,9
0,guass_nb,0.924,PCA,9
1,SVM,0.9328,PCA,9
1,guass_nb,0.9248,PCA,9
2,SVM,0.9528,PCA,9
2,guass_nb,0.9328,PCA,9
3,SVM,0.944,PCA,9
3,guass_nb,0.9232,PCA,9
4,SVM,0.9376,PCA,9
4,guass_nb,0.9312,PCA,9
5,SVM,0.9448,PCA,9
5,guass_nb,0.9216,PCA,9
6,SVM,0.9392,PCA,9
6,guass_nb,0.9216,PCA,9
7,SVM,0.9368,PCA,9
7,guass_nb,0.9216,PCA,9
8,SVM,0.944,PCA,9
8,guass_nb,0.932,PCA,9
9,SVM,0.9416,PCA,9
9,guass_nb,0.9336,PCA,9
10,SVM,0.9336,PCA,9
10,guass_nb,0.9288,PCA,9
11,SVM,0.9344,PCA,9
11,guass_nb,0.9264,PCA,9
12,SVM,0.9328,PCA,9
12,guass_nb,0.924,PCA,9
13,SVM,0.9408,PCA,9
13,guass_nb,0.9224,PCA,9
14,SVM,0.9432,PCA,9
14,guass_nb,0.9352,PCA,9
15,SVM,0.9312,PCA,9
15,guass_nb,0.9152,PCA,9
16,SVM,0.948,PCA,9
16,guass_nb,0.932,PCA,9
17,SVM,0.9472,PCA,9
17,guass_nb,0.9336,PCA,9
18,SVM,0.9408,PCA,9
18,guass_nb,0.9296,PCA,9
19,SVM,0.9384,PCA,9
19,guass_nb,0.9296,PCA,9
20,SVM,0.9544,PCA,9
20,guass_nb,0.9232,PCA,9
21,SVM,0.9312,PCA,9
21,guass_nb,0.92,PCA,9
22,SVM,0.9472,PCA,9
22,guass_nb,0.924,PCA,9
23,SVM,0.9536,PCA,9
23,guass_nb,0.9376,PCA,9
24,SVM,0.9392,PCA,9
24,guass_nb,0.9272,PCA,9
25,SVM,0.9408,PCA,9
25,guass_nb,0.936,PCA,9
26,SVM,0.9344,PCA,9
26,guass_nb,0.9208,PCA,9
27,SVM,0.944,PCA,9
27,guass_nb,0.936,PCA,9
28,SVM,0.9424,PCA,9
28,guass_nb,0.9328,PCA,9
29,SVM,0.9392,PCA,9
29,guass_nb,0.924,PCA,9
30,SVM,0.936,PCA,9
30,guass_nb,0.9184,PCA,9
31,SVM,0.948,PCA,9
31,guass_nb,0.9344,PCA,9
32,SVM,0.944,PCA,9
32,guass_nb,0.9368,PCA,9
33,SVM,0.944,PCA,9
33,guass_nb,0.9296,PCA,9
34,SVM,0.9448,PCA,9
34,guass_nb,0.9264,PCA,9
35,SVM,0.9424,PCA,9
35,guass_nb,0.9272,PCA,9
36,SVM,0.9416,PCA,9
36,guass_nb,0.9288,PCA,9
37,SVM,0.9328,PCA,9
37,guass_nb,0.9048,PCA,9
38,SVM,0.9488,PCA,9
38,guass_nb,0.9328,PCA,9
39,SVM,0.9464,PCA,9
39,guass_nb,0.9328,PCA,9
40,SVM,0.9464,PCA,9
40,guass_nb,0.9304,PCA,9
41,SVM,0.936,PCA,9
41,guass_nb,0.9192,PCA,9
42,SVM,0.9432,PCA,9
42,guass_nb,0.9272,PCA,9
43,SVM,0.9392,PCA,9
43,guass_nb,0.9152,PCA,9
44,SVM,0.9368,PCA,9
44,guass_nb,0.9288,PCA,9
45,SVM,0.944,PCA,9
45,guass_nb,0.924,PCA,9
46,SVM,0.9368,PCA,9
46,guass_nb,0.9272,PCA,9
47,SVM,0.9376,PCA,9
47,guass_nb,0.9296,PCA,9
48,SVM,0.9376,PCA,9
48,guass_nb,0.928,PCA,9
49,SVM,0.9416,PCA,9
49,guass_nb,0.932,PCA,9
0,SVM,0.936,LDA,1
0,guass_nb,0.9344,LDA,1
1,SVM,0.9344,LDA,1
1,guass_nb,0.9344,LDA,1
2,SVM,0.9272,LDA,1
2,guass_nb,0.9272,LDA,1
3,SVM,0.9432,LDA,1
3,guass_nb,0.944,LDA,1
4,SVM,0.9488,LDA,1
4,guass_nb,0.9472,LDA,1
5,SVM,0.9464,LDA,1
5,guass_nb,0.9464,LDA,1
6,SVM,0.9496,LDA,1
6,guass_nb,0.9496,LDA,1
7,SVM,0.9328,LDA,1
7,guass_nb,0.9312,LDA,1
8,SVM,0.9328,LDA,1
8,guass_nb,0.932,LDA,1
9,SVM,0.9408,LDA,1
9,guass_nb,0.9392,LDA,1
10,SVM,0.944,LDA,1
10,guass_nb,0.9416,LDA,1
11,SVM,0.9512,LDA,1
11,guass_nb,0.9528,LDA,1
12,SVM,0.9456,LDA,1
12,guass_nb,0.9416,LDA,1
13,SVM,0.9424,LDA,1
13,guass_nb,0.9408,LDA,1
14,SVM,0.9432,LDA,1
14,guass_nb,0.9416,LDA,1
15,SVM,0.9416,LDA,1
15,guass_nb,0.9408,LDA,1
16,SVM,0.9416,LDA,1
16,guass_nb,0.9416,LDA,1
17,SVM,0.9432,LDA,1
17,guass_nb,0.944,LDA,1
18,SVM,0.9368,LDA,1
18,guass_nb,0.9352,LDA,1
19,SVM,0.9472,LDA,1
19,guass_nb,0.9464,LDA,1
20,SVM,0.928,LDA,1
20,guass_nb,0.9264,LDA,1
21,SVM,0.9424,LDA,1
21,guass_nb,0.9424,LDA,1
22,SVM,0.948,LDA,1
22,guass_nb,0.9464,LDA,1
23,SVM,0.9464,LDA,1
23,guass_nb,0.9424,LDA,1
24,SVM,0.9488,LDA,1
24,guass_nb,0.9456,LDA,1
25,SVM,0.9408,LDA,1
25,guass_nb,0.9392,LDA,1
26,SVM,0.9416,LDA,1
26,guass_nb,0.9416,LDA,1
27,SVM,0.9432,LDA,1
27,guass_nb,0.944,LDA,1
28,SVM,0.9408,LDA,1
28,guass_nb,0.9392,LDA,1
29,SVM,0.9328,LDA,1
29,guass_nb,0.9288,LDA,1
30,SVM,0.9408,LDA,1
30,guass_nb,0.9416,LDA,1
31,SVM,0.9312,LDA,1
31,guass_nb,0.9296,LDA,1
32,SVM,0.9504,LDA,1
32,guass_nb,0.9512,LDA,1
33,SVM,0.9408,LDA,1
33,guass_nb,0.9392,LDA,1
34,SVM,0.9368,LDA,1
34,guass_nb,0.936,LDA,1
35,SVM,0.936,LDA,1
35,guass_nb,0.9368,LDA,1
36,SVM,0.9456,LDA,1
36,guass_nb,0.9448,LDA,1
37,SVM,0.9424,LDA,1
37,guass_nb,0.9432,LDA,1
38,SVM,0.9496,LDA,1
38,guass_nb,0.9488,LDA,1
39,SVM,0.9472,LDA,1
39,guass_nb,0.9472,LDA,1
40,SVM,0.9424,LDA,1
40,guass_nb,0.9408,LDA,1
41,SVM,0.9424,LDA,1
41,guass_nb,0.9392,LDA,1
42,SVM,0.944,LDA,1
42,guass_nb,0.9432,LDA,1
43,SVM,0.9504,LDA,1
43,guass_nb,0.9488,LDA,1
44,SVM,0.9456,LDA,1
44,guass_nb,0.9456,LDA,1
45,SVM,0.9416,LDA,1
45,guass_nb,0.9416,LDA,1
46,SVM,0.9408,LDA,1
46,guass_nb,0.9424,LDA,1
47,SVM,0.9304,LDA,1
47,guass_nb,0.9304,LDA,1
48,SVM,0.9456,LDA,1
48,guass_nb,0.9432,LDA,1
49,SVM,0.9392,LDA,1
49,guass_nb,0.9376,LDA,1
0,SVM,0.9432,LDA,2
0,guass_nb,0.9416,LDA,2
1,SVM,0.9488,LDA,2
1,guass_nb,0.9456,LDA,2
2,SVM,0.9312,LDA,2
2,guass_nb,0.9328,LDA,2
3,SVM,0.9408,LDA,2
3,guass_nb,0.936,LDA,2
4,SVM,0.944,LDA,2
4,guass_nb,0.9392,LDA,2
5,SVM,0.9424,LDA,2
5,guass_nb,0.9408,LDA,2
6,SVM,0.9392,LDA,2
6,guass_nb,0.9328,LDA,2
7,SVM,0.9456,LDA,2
7,guass_nb,0.9376,LDA,2
8,SVM,0.9496,LDA,2
8,guass_nb,0.9432,LDA,2
9,SVM,0.9456,LDA,2
9,guass_nb,0.9432,LDA,2
10,SVM,0.936,LDA,2
10,guass_nb,0.9344,LDA,2
11,SVM,0.9368,LDA,2
11,guass_nb,0.932,LDA,2
12,SVM,0.9344,LDA,2
12,guass_nb,0.9368,LDA,2
13,SVM,0.9488,LDA,2
13,guass_nb,0.9448,LDA,2
14,SVM,0.9384,LDA,2
14,guass_nb,0.928,LDA,2
15,SVM,0.9368,LDA,2
15,guass_nb,0.932,LDA,2
16,SVM,0.9384,LDA,2
16,guass_nb,0.932,LDA,2
17,SVM,0.9528,LDA,2
17,guass_nb,0.9504,LDA,2
18,SVM,0.932,LDA,2
18,guass_nb,0.9272,LDA,2
19,SVM,0.9408,LDA,2
19,guass_nb,0.94,LDA,2
20,SVM,0.9448,LDA,2
20,guass_nb,0.9424,LDA,2
21,SVM,0.9376,LDA,2
21,guass_nb,0.9376,LDA,2
22,SVM,0.9408,LDA,2
22,guass_nb,0.936,LDA,2
23,SVM,0.9456,LDA,2
23,guass_nb,0.9432,LDA,2
24,SVM,0.94,LDA,2
24,guass_nb,0.9352,LDA,2
25,SVM,0.9432,LDA,2
25,guass_nb,0.936,LDA,2
26,SVM,0.944,LDA,2
26,guass_nb,0.9384,LDA,2
27,SVM,0.9504,LDA,2
27,guass_nb,0.9504,LDA,2
28,SVM,0.9352,LDA,2
28,guass_nb,0.9328,LDA,2
29,SVM,0.94,LDA,2
29,guass_nb,0.9368,LDA,2
30,SVM,0.9408,LDA,2
30,guass_nb,0.9344,LDA,2
31,SVM,0.9456,LDA,2
31,guass_nb,0.9472,LDA,2
32,SVM,0.9344,LDA,2
32,guass_nb,0.9296,LDA,2
33,SVM,0.9384,LDA,2
33,guass_nb,0.9368,LDA,2
34,SVM,0.928,LDA,2
34,guass_nb,0.9272,LDA,2
35,SVM,0.948,LDA,2
35,guass_nb,0.9496,LDA,2
36,SVM,0.94,LDA,2
36,guass_nb,0.9336,LDA,2
37,SVM,0.9328,LDA,2
37,guass_nb,0.9336,LDA,2
38,SVM,0.9456,LDA,2
38,guass_nb,0.9432,LDA,2
39,SVM,0.9464,LDA,2
39,guass_nb,0.9392,LDA,2
40,SVM,0.9416,LDA,2
40,guass_nb,0.9344,LDA,2
41,SVM,0.936,LDA,2
41,guass_nb,0.932,LDA,2
42,SVM,0.9408,LDA,2
42,guass_nb,0.94,LDA,2
43,SVM,0.936,LDA,2
43,guass_nb,0.9352,LDA,2
44,SVM,0.9384,LDA,2
44,guass_nb,0.936,LDA,2
45,SVM,0.9392,LDA,2
45,guass_nb,0.9336,LDA,2
46,SVM,0.9344,LDA,2
46,guass_nb,0.928,LDA,2
47,SVM,0.9504,LDA,2
47,guass_nb,0.9496,LDA,2
48,SVM,0.94,LDA,2
48,guass_nb,0.9384,LDA,2
49,SVM,0.9432,LDA,2
49,guass_nb,0.9368,LDA,2
0,SVM,0.9344,LDA,3
0,guass_nb,0.9256,LDA,3
1,SVM,0.9376,LDA,3
1,guass_nb,0.9312,LDA,3
2,SVM,0.9416,LDA,3
2,guass_nb,0.9408,LDA,3
3,SVM,0.9424,LDA,3
3,guass_nb,0.9376,LDA,3
4,SVM,0.9392,LDA,3
4,guass_nb,0.9352,LDA,3
5,SVM,0.9424,LDA,3
5,guass_nb,0.9456,LDA,3
6,SVM,0.9472,LDA,3
6,guass_nb,0.9432,LDA,3
7,SVM,0.9416,LDA,3
7,guass_nb,0.936,LDA,3
8,SVM,0.9344,LDA,3
8,guass_nb,0.932,LDA,3
9,SVM,0.944,LDA,3
9,guass_nb,0.9384,LDA,3
10,SVM,0.9384,LDA,3
10,guass_nb,0.9392,LDA,3
11,SVM,0.9408,LDA,3
11,guass_nb,0.9384,LDA,3
12,SVM,0.948,LDA,3
12,guass_nb,0.9408,LDA,3
13,SVM,0.9392,LDA,3
13,guass_nb,0.9376,LDA,3
14,SVM,0.9352,LDA,3
14,guass_nb,0.936,LDA,3
15,SVM,0.9336,LDA,3
15,guass_nb,0.928,LDA,3
16,SVM,0.948,LDA,3
16,guass_nb,0.9472,LDA,3
17,SVM,0.956,LDA,3
17,guass_nb,0.9536,LDA,3
18,SVM,0.94,LDA,3
18,guass_nb,0.932,LDA,3
19,SVM,0.936,LDA,3
19,guass_nb,0.9296,LDA,3
20,SVM,0.9376,LDA,3
20,guass_nb,0.9344,LDA,3
21,SVM,0.952,LDA,3
21,guass_nb,0.9408,LDA,3
22,SVM,0.936,LDA,3
22,guass_nb,0.9368,LDA,3
23,SVM,0.936,LDA,3
23,guass_nb,0.9264,LDA,3
24,SVM,0.9432,LDA,3
24,guass_nb,0.9384,LDA,3
25,SVM,0.9416,LDA,3
25,guass_nb,0.9384,LDA,3
26,SVM,0.9408,LDA,3
26,guass_nb,0.9432,LDA,3
27,SVM,0.9408,LDA,3
27,guass_nb,0.9392,LDA,3
28,SVM,0.9416,LDA,3
28,guass_nb,0.94,LDA,3
29,SVM,0.9464,LDA,3
29,guass_nb,0.9424,LDA,3
30,SVM,0.9408,LDA,3
30,guass_nb,0.9376,LDA,3
31,SVM,0.9424,LDA,3
31,guass_nb,0.9408,LDA,3
32,SVM,0.9512,LDA,3
32,guass_nb,0.9408,LDA,3
33,SVM,0.9312,LDA,3
33,guass_nb,0.9288,LDA,3
34,SVM,0.9464,LDA,3
34,guass_nb,0.9424,LDA,3
35,SVM,0.9376,LDA,3
35,guass_nb,0.9344,LDA,3
36,SVM,0.9448,LDA,3
36,guass_nb,0.9464,LDA,3
37,SVM,0.9432,LDA,3
37,guass_nb,0.9416,LDA,3
38,SVM,0.944,LDA,3
38,guass_nb,0.9472,LDA,3
39,SVM,0.9392,LDA,3
39,guass_nb,0.9336,LDA,3
40,SVM,0.9416,LDA,3
40,guass_nb,0.9344,LDA,3
41,SVM,0.9328,LDA,3
41,guass_nb,0.928,LDA,3
42,SVM,0.9448,LDA,3
42,guass_nb,0.9448,LDA,3
43,SVM,0.944,LDA,3
43,guass_nb,0.9416,LDA,3
44,SVM,0.944,LDA,3
44,guass_nb,0.9416,LDA,3
45,SVM,0.932,LDA,3
45,guass_nb,0.932,LDA,3
46,SVM,0.948,LDA,3
46,guass_nb,0.94,LDA,3
47,SVM,0.9312,LDA,3
47,guass_nb,0.9208,LDA,3
48,SVM,0.9376,LDA,3
48,guass_nb,0.9288,LDA,3
49,SVM,0.94,LDA,3
49,guass_nb,0.9384,LDA,3
0,SVM,0.9376,LDA,9
0,guass_nb,0.9224,LDA,9
1,SVM,0.9392,LDA,9
1,guass_nb,0.9248,LDA,9
2,SVM,0.9344,LDA,9
2,guass_nb,0.9248,LDA,9
3,SVM,0.9376,LDA,9
3,guass_nb,0.9256,LDA,9
4,SVM,0.9392,LDA,9
4,guass_nb,0.9256,LDA,9
5,SVM,0.9592,LDA,9
5,guass_nb,0.9328,LDA,9
6,SVM,0.9424,LDA,9
6,guass_nb,0.9272,LDA,9
7,SVM,0.9456,LDA,9
7,guass_nb,0.9208,LDA,9
8,SVM,0.9408,LDA,9
8,guass_nb,0.9272,LDA,9
9,SVM,0.9384,LDA,9
9,guass_nb,0.9256,LDA,9
10,SVM,0.9272,LDA,9
10,guass_nb,0.92,LDA,9
11,SVM,0.9424,LDA,9
11,guass_nb,0.9264,LDA,9
12,SVM,0.9416,LDA,9
12,guass_nb,0.9256,LDA,9
13,SVM,0.9528,LDA,9
13,guass_nb,0.9312,LDA,9
14,SVM,0.9424,LDA,9
14,guass_nb,0.9392,LDA,9
15,SVM,0.9336,LDA,9
15,guass_nb,0.9264,LDA,9
16,SVM,0.9432,LDA,9
16,guass_nb,0.9336,LDA,9
17,SVM,0.9376,LDA,9
17,guass_nb,0.9216,LDA,9
18,SVM,0.9448,LDA,9
18,guass_nb,0.9304,LDA,9
19,SVM,0.9336,LDA,9
19,guass_nb,0.92,LDA,9
20,SVM,0.9352,LDA,9
20,guass_nb,0.9288,LDA,9
21,SVM,0.9408,LDA,9
21,guass_nb,0.9288,LDA,9
22,SVM,0.9456,LDA,9
22,guass_nb,0.9296,LDA,9
23,SVM,0.9424,LDA,9
23,guass_nb,0.9208,LDA,9
24,SVM,0.932,LDA,9
24,guass_nb,0.9224,LDA,9
25,SVM,0.9296,LDA,9
25,guass_nb,0.92,LDA,9
26,SVM,0.9432,LDA,9
26,guass_nb,0.9176,LDA,9
27,SVM,0.9416,LDA,9
27,guass_nb,0.932,LDA,9
28,SVM,0.9432,LDA,9
28,guass_nb,0.9304,LDA,9
29,SVM,0.9384,LDA,9
29,guass_nb,0.92,LDA,9
30,SVM,0.9376,LDA,9
30,guass_nb,0.9136,LDA,9
31,SVM,0.9432,LDA,9
31,guass_nb,0.9264,LDA,9
32,SVM,0.9416,LDA,9
32,guass_nb,0.9248,LDA,9
33,SVM,0.9408,LDA,9
33,guass_nb,0.9176,LDA,9
34,SVM,0.936,LDA,9
34,guass_nb,0.9192,LDA,9
35,SVM,0.9408,LDA,9
35,guass_nb,0.9216,LDA,9
36,SVM,0.9544,LDA,9
36,guass_nb,0.9288,LDA,9
37,SVM,0.9376,LDA,9
37,guass_nb,0.9232,LDA,9
38,SVM,0.9512,LDA,9
38,guass_nb,0.932,LDA,9
39,SVM,0.9352,LDA,9
39,guass_nb,0.9224,LDA,9
40,SVM,0.94,LDA,9
40,guass_nb,0.9208,LDA,9
41,SVM,0.9328,LDA,9
41,guass_nb,0.9144,LDA,9
42,SVM,0.9472,LDA,9
42,guass_nb,0.9288,LDA,9
43,SVM,0.9456,LDA,9
43,guass_nb,0.9168,LDA,9
44,SVM,0.9392,LDA,9
44,guass_nb,0.9296,LDA,9
45,SVM,0.9456,LDA,9
45,guass_nb,0.936,LDA,9
46,SVM,0.948,LDA,9
46,guass_nb,0.9248,LDA,9
47,SVM,0.94,LDA,9
47,guass_nb,0.9216,LDA,9
48,SVM,0.9448,LDA,9
48,guass_nb,0.928,LDA,9
49,SVM,0.9424,LDA,9
49,guass_nb,0.9248,LDA,9
